,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
68,Bridlewood,45.294218,-75.85694409999998,Gabriel's Pizza,45.29215681259775,-75.85733119637263,Pizza Place
69,Bridlewood,45.294218,-75.85694409999998,Hurley's Neighbourhood Grill,45.29140281961428,-75.85723328491115,American Restaurant
70,Bridlewood,45.294218,-75.85694409999998,Black Tern Park,45.294053262028044,-75.85391096391777,Park
71,Bridlewood,45.294218,-75.85694409999998,Snap Fitness,45.291889430086435,-75.85783438094359,Gym
72,Bridlewood,45.294218,-75.85694409999998,Mac's,45.2910352,-75.856714,Convenience Store
73,Bridlewood,45.294218,-75.85694409999998,Bridlewood Park,45.29391927470552,-75.86204094931426,Park
74,Lower Town / Byward Market / Sandy Hill / University of Ottawa,45.4279636,-75.6834408,Bytowne Cinema,45.42942,-75.68462,Indie Movie Theater
75,Lower Town / Byward Market / Sandy Hill / University of Ottawa,45.4279636,-75.6834408,Alirang,45.4303135315078,-75.68496957120959,Korean Restaurant
76,Lower Town / Byward Market / Sandy Hill / University of Ottawa,45.4279636,-75.6834408,Swiss Hotel,45.426926934378855,-75.6864956005565,Hotel
77,Lower Town / Byward Market / Sandy Hill / University of Ottawa,45.4279636,-75.6834408,LCBO,45.4287125229312,-75.68639635492767,Liquor Store
78,Lower Town / Byward Market / Sandy Hill / University of Ottawa,45.4279636,-75.6834408,Waller St. Brewing,45.42718717092779,-75.68859076829965,Brewery
79,Lower Town / Byward Market / Sandy Hill / University of Ottawa,45.4279636,-75.6834408,Sitar Indian Restaurant,45.4310089,-75.6816143,Indian Restaurant
80,Lower Town / Byward Market / Sandy Hill / University of Ottawa,45.4279636,-75.6834408,Shawarma Palace,45.431029642922844,-75.68001551623831,Middle Eastern Restaurant
81,Lower Town / Byward Market / Sandy Hill / University of Ottawa,45.4279636,-75.6834408,The Loft Board Game Lounge,45.427159331410515,-75.6885703925006,Café
82,Lower Town / Byward Market / Sandy Hill / University of Ottawa,45.4279636,-75.6834408,The Ottawa Mission,45.4263751,-75.6880967,Hostel
83,Lower Town / Byward Market / Sandy Hill / University of Ottawa,45.4279636,-75.6834408,Vertigo Records,45.42743518354056,-75.68874762143872,Record Shop
84,Lower Town / Byward Market / Sandy Hill / University of Ottawa,45.4279636,-75.6834408,Saffron Restaurant,45.43057777334006,-75.68145314038571,Middle Eastern Restaurant
85,Lower Town / Byward Market / Sandy Hill / University of Ottawa,45.4279636,-75.6834408,Starbucks,45.426682,-75.680043,Coffee Shop
86,Lower Town / Byward Market / Sandy Hill / University of Ottawa,45.4279636,-75.6834408,Laurier House,45.427455344111394,-75.67787999848413,Historic Site
87,Lower Town / Byward Market / Sandy Hill / University of Ottawa,45.4279636,-75.6834408,Benjamin Books,45.423783056094216,-75.68126065320894,Bookstore
88,Downtown,45.421423299999994,-75.698021,Alt Hotel Ottawa,45.41997315577382,-75.69894832209684,Hotel
89,Downtown,45.421423299999994,-75.698021,Cafe Deluxe,45.42174369765377,-75.69631040400665,Café
90,Downtown,45.421423299999994,-75.698021,Sheraton Ottawa Hotel,45.4208462,-75.6977118,Hotel
91,Downtown,45.421423299999994,-75.698021,Riviera,45.423165374158884,-75.69620523362121,Modern European Restaurant
92,Downtown,45.421423299999994,-75.698021,Sansotei Ramen 三草亭,45.41891961658025,-75.69932781411583,Noodle House
93,Downtown,45.421423299999994,-75.698021,Juice Monkey,45.41953670977729,-75.69944471827394,Juice Bar
94,Downtown,45.421423299999994,-75.698021,Mad Radish,45.42161322684433,-75.69672048360431,Theme Restaurant
95,Downtown,45.421423299999994,-75.698021,Ottawa Streat Gourmet,45.42084635549554,-75.69855045716199,Food Truck
96,Downtown,45.421423299999994,-75.698021,Bridgehead,45.419974659292386,-75.69748011721676,Coffee Shop
97,Downtown,45.421423299999994,-75.698021,Northern Lights Sound and Light Show,45.423855675085406,-75.69851976721479,Plaza
98,Downtown,45.421423299999994,-75.698021,Queen St Fare,45.420948,-75.69937,Bar
99,Downtown,45.421423299999994,-75.698021,National War Memorial,45.42390907691309,-75.69522107296996,Memorial Site
100,Downtown,45.421423299999994,-75.698021,Bier Markt,45.42165658472595,-75.69964064662196,Restaurant
101,Downtown,45.421423299999994,-75.698021,National Arts Centre - Equator Coffee,45.423326147491174,-75.69443924047323,Coffee Shop
102,Downtown,45.421423299999994,-75.698021,Angry Dragonz,45.42074485678192,-75.69823212643382,Food Truck
103,Downtown,45.421423299999994,-75.698021,National Arts Centre - Southam Hall,45.422774819434004,-75.6938297857278,Concert Hall
104,Downtown,45.421423299999994,-75.698021,TELUS,45.41958742355808,-75.6994791480437,IT Services
105,Downtown,45.421423299999994,-75.698021,Stroked Ego,45.419286,-75.699698,Men's Store
106,Downtown,45.421423299999994,-75.698021,Starbucks,45.421305,-75.695622,Coffee Shop
107,Downtown,45.421423299999994,-75.698021,National Arts Centre - Centre National des Arts,45.42292207192373,-75.69299633235858,Concert Hall
108,Downtown,45.421423299999994,-75.698021,Cenotaph and Tomb of the Unknown Soldier,45.42387118830077,-75.69531959733061,Monument / Landmark
109,Downtown,45.421423299999994,-75.698021,Clover food | drink,45.41885640238463,-75.6991696357727,Comfort Food Restaurant
110,Downtown,45.421423299999994,-75.698021,Rideau Canal,45.4247808917841,-75.69512872140002,Other Great Outdoors
111,Downtown,45.421423299999994,-75.698021,Bread & Sons Bakery,45.41768026853603,-75.69835152471232,Bakery
112,Downtown,45.421423299999994,-75.698021,Caribbean Sizzler,45.41927376236027,-75.69971538788573,Caribbean Restaurant
113,Downtown,45.421423299999994,-75.698021,Beckta Dining & Wine,45.420566678764104,-75.69271718622218,Restaurant
114,Downtown,45.421423299999994,-75.698021,Confederation Park,45.42206901871169,-75.69251815202041,Park
115,Downtown,45.421423299999994,-75.698021,Downtown YMCA-YWCA,45.42068697171134,-75.69980616482286,Gym
116,Downtown,45.421423299999994,-75.698021,Bridgehead,45.42266344155772,-75.69722035453937,Coffee Shop
117,Downtown,45.421423299999994,-75.698021,Bridgehead,45.420073845150505,-75.70016701301832,Coffee Shop
118,Downtown,45.421423299999994,-75.698021,National Arts Centre - Fourth Stage,45.4229558044292,-75.69467002907791,Concert Hall
